epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8425,0.77825,5.10349,0.73185,0.53612,0.45664,0.4683,0.20076,0.89784,3.419,0.78086,0.00331019,0.00331019,0.00331019
2,120.348,0.69898,3.833,0.64466,0.31306,0.25412,0.19619,0.07561,1.00337,6.46395,0.91859,0.0065613,0.0065613,0.0065613
3,181.304,0.82154,4.69572,0.73761,0.03166,0.04445,0.00917,0.00357,1.99849,22.926,1.89601,0.00972992,0.00972992,0.00972992
4,241.966,0.90174,5.29059,0.80488,0.14558,0.09381,0.04967,0.01827,1.3419,21.3853,1.27645,0.00962875,0.00962875,0.00962875
5,302.784,0.87915,4.96619,0.78897,0.19843,0.22503,0.13165,0.04661,1.20872,7.63847,1.12272,0.009505,0.009505,0.009505
6,363.843,0.86767,4.63161,0.78209,0.41308,0.21159,0.19057,0.06723,1.03071,6.90476,0.93265,0.00938125,0.00938125,0.00938125
7,424.15,0.85446,4.38087,0.76641,0.39038,0.32924,0.29014,0.11577,1.1147,4.44259,0.98931,0.0092575,0.0092575,0.0092575
8,483.927,0.86096,4.17423,0.77296,0.42396,0.32807,0.28955,0.11603,1.05035,4.54151,0.93519,0.00913375,0.00913375,0.00913375
9,544.501,0.83391,4.01586,0.75991,0.40983,0.41843,0.34674,0.14106,0.93516,3.88669,0.83498,0.00901,0.00901,0.00901
10,605.241,0.82754,3.89845,0.75412,0.37297,0.42813,0.36181,0.15464,0.98517,4.06152,0.88522,0.00888625,0.00888625,0.00888625
11,665.668,0.8335,3.79989,0.761,0.51,0.44324,0.43645,0.17204,0.98426,3.35265,0.86685,0.0087625,0.0087625,0.0087625
12,726.027,0.83421,3.65554,0.76686,0.46539,0.46437,0.45172,0.19451,0.96603,3.25135,0.8517,0.00863875,0.00863875,0.00863875
13,786.422,0.84545,3.53406,0.77585,0.51692,0.42972,0.42966,0.17495,0.95495,3.36904,0.85204,0.008515,0.008515,0.008515
14,846.741,0.84419,3.49142,0.77015,0.53049,0.47221,0.47073,0.20545,0.93367,3.0816,0.84003,0.00839125,0.00839125,0.00839125
15,906.941,0.8264,3.38516,0.76228,0.50495,0.45886,0.44716,0.20006,0.9198,3.17861,0.81493,0.0082675,0.0082675,0.0082675
16,967.374,0.83759,3.31021,0.77702,0.59323,0.48848,0.51704,0.22416,0.90588,2.98055,0.8111,0.00814375,0.00814375,0.00814375
17,1027.69,0.83925,3.25748,0.77776,0.58572,0.51435,0.52518,0.23949,0.87507,2.89746,0.78123,0.00802,0.00802,0.00802
18,1088.1,0.83698,3.15499,0.77409,0.54334,0.50558,0.51309,0.22763,0.9025,2.89388,0.80709,0.00789625,0.00789625,0.00789625
19,1148.29,0.84021,3.11008,0.78121,0.56189,0.50256,0.5317,0.24418,0.84997,2.81615,0.75555,0.0077725,0.0077725,0.0077725
20,1208.78,0.83673,3.05898,0.77953,0.61606,0.5277,0.56823,0.26983,0.83647,2.68373,0.7465,0.00764875,0.00764875,0.00764875
21,1269.29,0.83896,2.98231,0.78407,0.62206,0.53233,0.56115,0.26901,0.80707,2.64204,0.73811,0.007525,0.007525,0.007525
22,1329.74,0.85401,2.90975,0.79594,0.65623,0.53509,0.57497,0.2684,0.8266,2.60725,0.73667,0.00740125,0.00740125,0.00740125
23,1390.02,0.8447,2.8972,0.79182,0.64525,0.51868,0.55806,0.26745,0.75622,2.67926,0.69303,0.0072775,0.0072775,0.0072775
24,1450.08,0.86479,2.82922,0.80671,0.62073,0.56529,0.58061,0.27721,0.80952,2.56095,0.72125,0.00715375,0.00715375,0.00715375
25,1510.42,0.85993,2.77974,0.80241,0.68565,0.5714,0.61566,0.30293,0.79859,2.48008,0.71749,0.00703,0.00703,0.00703
26,1570.73,0.83463,2.69067,0.79024,0.68401,0.57329,0.61435,0.30134,0.82581,2.51524,0.73703,0.00690625,0.00690625,0.00690625
27,1630.62,0.85045,2.70113,0.80558,0.63309,0.59608,0.61206,0.28908,0.81807,2.48647,0.71842,0.0067825,0.0067825,0.0067825
28,1690.31,0.85236,2.63696,0.80818,0.6939,0.57899,0.63099,0.31266,0.78075,2.36313,0.69811,0.00665875,0.00665875,0.00665875
29,1750.5,0.86235,2.6017,0.81605,0.71525,0.5914,0.63843,0.32085,0.80616,2.3577,0.732,0.006535,0.006535,0.006535
30,1810.45,0.86279,2.52483,0.82073,0.66836,0.62608,0.65148,0.33273,0.76956,2.30748,0.6957,0.00641125,0.00641125,0.00641125
